,Model,MAE,RMSE,MSE,R2,MAPE,MASE,MBE,Median_AE
Extra Trees,Extra Trees,7830.039273691092,16386.837181312905,268528432.80685914,0.9590955133260692,0.14719019877842662,0.09920417543115168,2727.5157928019507,3105.455369027033
Hist Gradient Boosting,Hist Gradient Boosting,13092.219444929662,24645.43691328895,607397560.6469057,0.9074761463225403,0.23666194112151268,0.16587437038303385,4182.799206040931,5573.520346324791
Random Forest,Random Forest,12902.28064028164,25938.443099817443,672802830.4424671,0.8975130710578749,0.22212990566017615,0.16346790448435092,7853.733100836392,4898.655060596055
Ridge Regression,Ridge Regression,21871.62863557779,37609.41110482813,1414467803.651969,0.784536487177874,0.46194878759370034,0.2771067689812535,6194.153275351146,10477.3216479311
Linear Regression,Linear Regression,21961.570634915362,38065.251420490575,1448963365.7051597,0.7792818359531771,0.4569782328426682,0.2782463062899479,5075.559576195511,10356.374384676394
